home,win,home_seasonWins,home_seasonLosses,home_seasonGames,home_avg_teamScore,home_avg_opponentScore,home_avg_assists,home_avg_blocks,home_avg_steals,home_avg_freeThrowsAttempted,home_avg_reboundsTotal,home_avg_turnovers,home_avg_plusMinusPoints,home_avg_fieldGoalsAttempted,home_avg_threePointersAttempted,home_avg_fieldGoalsPercentage,home_avg_threePointersPercentage,home_avg_freeThrowsPercentage,away_seasonWins,away_seasonLosses,away_seasonGames,away_avg_teamScore,away_avg_opponentScore,away_avg_assists,away_avg_blocks,away_avg_steals,away_avg_freeThrowsAttempted,away_avg_reboundsTotal,away_avg_turnovers,away_avg_plusMinusPoints,away_avg_fieldGoalsAttempted,away_avg_threePointersAttempted,away_avg_fieldGoalsPercentage,away_avg_threePointersPercentage,away_avg_freeThrowsPercentage,h2h_win_rate
1,1,52,30,82,94.4,91.3,23.5,6.4,7.1,22.3,43.2,15.0,3.1,78.8,14.7,0.461,0.372,0.738,42,40,82,103.5,102.0,20.8,3.3,8.1,30.6,41.2,15.7,1.7,80.9,14.9,0.46,0.36,0.783,0.0
1,0,53,29,82,96.2,90.2,22.2,6.7,7.5,27.0,43.8,15.0,6.5,78.0,10.8,0.462,0.385,0.739,53,29,82,98.9,93.7,25.6,5.3,9.1,23.6,43.7,16.7,5.5,82.6,15.2,0.458,0.368,0.759,0.0
1,1,55,27,82,96.5,92.0,24.9,5.4,7.7,26.2,41.0,14.9,4.5,77.8,10.4,0.465,0.388,0.772,45,37,82,99.1,98.1,22.9,4.2,8.0,23.9,43.0,14.0,1.2,84.7,19.6,0.448,0.336,0.691,0.0
1,0,49,33,82,98.4,95.8,24.7,5.9,8.9,30.0,42.9,14.7,2.9,79.7,12.2,0.45,0.337,0.761,49,33,82,94.8,93.4,22.2,4.7,9.6,27.1,44.1,15.7,1.9,82.6,7.8,0.443,0.307,0.708,0.0
1,1,50,32,82,92.1,90.7,19.4,4.3,6.3,22.0,40.5,14.6,1.5,77.7,11.4,0.456,0.368,0.785,45,37,82,97.2,97.3,23.7,6.6,8.1,25.2,43.3,13.9,0.1,83.9,14.3,0.434,0.356,0.764,0.0
1,1,59,23,82,97.5,91.0,23.5,4.8,7.7,24.7,43.0,15.2,6.4,78.4,13.8,0.473,0.359,0.76,50,32,82,98.5,96.0,26.9,5.4,7.6,21.6,42.5,13.9,2.5,84.3,8.7,0.469,0.35,0.781,0.0
1,1,67,15,82,100.8,92.3,23.4,6.5,7.5,28.9,47.0,13.9,8.5,83.4,12.8,0.46,0.323,0.695,44,38,82,105.0,102.0,23.8,4.6,9.6,24.6,45.0,16.2,2.9,88.9,20.2,0.451,0.319,0.758,0.0
1,1,56,26,82,101.3,96.7,22.6,5.1,6.8,24.5,42.1,14.1,4.6,81.0,18.1,0.46,0.392,0.814,42,40,82,101.2,101.0,22.6,4.6,8.2,24.2,41.3,15.0,0.5,83.3,13.0,0.465,0.36,0.788,0.0
1,1,49,34,83,98.2,95.7,24.5,5.9,8.9,30.1,43.0,14.8,2.8,79.5,12.3,0.449,0.335,0.761,50,33,83,94.7,93.3,22.1,4.7,9.6,27.2,44.0,15.6,2.0,82.6,7.8,0.443,0.311,0.708,0.0
1,1,56,27,83,96.6,92.1,24.9,5.4,7.7,26.2,41.1,14.9,4.5,77.8,10.4,0.465,0.391,0.774,45,38,83,99.0,98.2,22.8,4.2,8.0,23.8,43.0,14.0,1.1,84.8,19.6,0.448,0.338,0.69,1.0
1,1,53,30,83,94.4,91.2,23.5,6.4,7.1,22.3,43.1,15.0,3.2,78.7,14.6,0.461,0.374,0.739,42,41,83,103.2,101.9,20.8,3.3,8.1,30.6,41.1,15.7,1.6,80.7,14.9,0.46,0.363,0.781,1.0
1,1,53,30,83,95.9,90.0,22.1,6.7,7.5,26.9,43.9,15.1,6.4,77.9,10.8,0.461,0.384,0.737,54,29,83,98.6,93.4,25.5,5.3,9.1,23.4,43.7,16.7,5.4,82.6,15.2,0.457,0.366,0.76,0.0
1,1,51,32,83,92.1,90.6,19.3,4.3,6.3,22.0,40.4,14.7,1.5,77.7,11.4,0.456,0.368,0.785,45,38,83,97.1,97.3,23.7,6.6,8.2,25.3,43.3,13.9,0.1,83.9,14.3,0.433,0.358,0.764,1.0
1,1,60,23,83,97.4,91.0,23.4,4.8,7.7,24.7,42.9,15.1,6.4,78.4,13.8,0.472,0.36,0.762,50,33,83,98.4,95.9,26.9,5.4,7.5,21.5,42.4,13.8,2.5,84.2,8.7,0.469,0.348,0.78,1.0
1,0,57,26,83,101.1,96.6,22.6,5.2,6.8,24.5,42.2,14.1,4.6,81.0,18.1,0.459,0.391,0.813,42,41,83,101.0,100.8,22.4,4.7,8.2,24.2,41.3,15.0,0.4,83.3,13.0,0.464,0.362,0.788,1.0
1,1,68,15,83,101.0,92.4,23.4,6.5,7.5,28.7,47.1,13.9,8.6,83.6,12.7,0.461,0.323,0.695,44,39,83,105.0,102.2,23.7,4.6,9.6,24.7,44.9,16.1,2.8,88.8,20.2,0.451,0.319,0.758,1.0
1,1,50,34,84,94.8,93.5,22.1,4.7,9.6,27.1,44.0,15.6,1.8,82.6,7.9,0.442,0.314,0.709,50,34,84,98.4,95.8,24.7,5.9,8.9,29.9,43.0,14.7,2.9,79.5,12.3,0.45,0.336,0.763,0.5
1,0,42,42,84,103.0,101.7,20.7,3.3,8.0,30.4,41.0,15.7,1.5,80.6,14.8,0.46,0.363,0.781,54,30,84,94.3,91.1,23.5,6.4,7.2,22.3,43.1,15.0,3.2,78.6,14.6,0.461,0.373,0.738,0.0
1,1,54,30,84,98.2,93.3,25.3,5.4,9.1,23.4,43.7,16.6,5.2,82.6,15.2,0.455,0.364,0.758,54,30,84,95.7,89.8,22.0,6.8,7.5,26.9,44.0,15.0,6.5,77.9,10.8,0.46,0.383,0.739,0.5
1,1,45,39,84,98.9,98.2,22.8,4.1,8.0,23.8,42.9,14.1,0.9,84.6,19.5,0.448,0.341,0.69,57,27,84,96.7,92.0,24.9,5.5,7.7,26.1,41.1,14.9,4.7,77.8,10.5,0.466,0.392,0.772,0.0
1,0,43,41,84,101.1,100.7,22.5,4.7,8.2,24.2,41.4,15.0,0.6,83.2,13.0,0.465,0.361,0.787,57,27,84,101.0,96.6,22.5,5.2,6.8,24.6,42.2,14.1,4.4,81.0,18.0,0.458,0.391,0.812,0.5
1,0,45,39,84,96.9,97.1,23.6,6.5,8.1,25.4,43.2,13.9,0.0,83.6,14.2,0.433,0.356,0.764,52,32,84,92.0,90.5,19.2,4.2,6.3,22.2,40.4,14.7,1.5,77.5,11.4,0.456,0.368,0.785,0.0
1,1,50,34,84,98.2,95.8,26.8,5.4,7.6,21.5,42.3,13.9,2.4,84.1,8.7,0.469,0.346,0.78,61,23,84,97.2,90.9,23.4,4.8,7.7,24.7,42.8,15.1,6.3,78.3,13.8,0.472,0.362,0.762,0.0
1,1,44,40,84,104.8,102.4,23.7,4.6,9.5,24.7,44.9,16.1,2.4,88.7,20.1,0.451,0.321,0.758,69,15,84,101.2,92.4,23.5,6.5,7.5,28.8,47.1,13.8,8.8,83.6,12.7,0.461,0.325,0.696,0.0
1,1,43,42,85,101.0,100.8,22.5,4.7,8.1,24.1,41.4,14.9,0.4,83.2,13.0,0.465,0.359,0.786,58,27,85,101.1,96.6,22.5,5.1,6.7,24.6,42.1,14.0,4.5,81.1,18.1,0.458,0.391,0.813,0.333
1,1,51,34,85,94.6,93.3,22.0,4.7,9.6,27.1,44.0,15.6,1.9,82.6,8.0,0.441,0.313,0.71,50,35,85,98.1,95.6,24.6,5.8,8.9,29.9,43.0,14.8,2.8,79.4,12.3,0.449,0.336,0.764,0.667
1,1,45,40,85,104.7,102.2,23.6,4.6,9.4,24.8,44.9,16.0,2.5,88.6,20.0,0.451,0.321,0.758,69,16,85,101.0,92.5,23.4,6.5,7.4,28.8,47.1,13.8,8.6,83.6,12.7,0.46,0.326,0.693,0.333
1,0,51,34,85,98.2,95.7,26.8,5.4,7.5,21.4,42.2,13.8,2.4,83.9,8.8,0.469,0.349,0.78,61,24,85,97.1,90.9,23.4,4.8,7.6,24.6,42.7,15.0,6.2,78.2,13.8,0.471,0.362,0.765,0.333
1,1,55,30,85,98.3,93.3,25.4,5.5,9.1,23.4,43.8,16.6,5.2,82.7,15.2,0.455,0.365,0.758,54,31,85,95.7,89.9,21.9,6.8,7.5,27.0,43.9,15.0,6.3,77.9,10.8,0.459,0.383,0.74,0.667
1,1,46,39,85,98.8,98.0,22.8,4.2,8.0,24.0,43.0,14.1,1.0,84.4,19.4,0.448,0.341,0.69,57,28,85,96.4,92.0,24.9,5.4,7.7,26.0,41.0,14.9,4.5,77.7,10.5,0.465,0.392,0.772,0.333
1,1,58,28,86,100.9,96.7,22.4,5.1,6.7,24.7,42.1,14.0,4.3,81.0,18.0,0.458,0.386,0.814,44,42,86,101.0,100.7,22.6,4.8,8.1,24.0,41.4,14.9,0.6,83.2,13.0,0.465,0.36,0.786,0.5
1,1,69,17,86,100.9,92.6,23.2,6.4,7.4,28.8,47.2,13.8,8.3,83.6,12.8,0.459,0.324,0.693,46,40,86,104.7,102.1,23.5,4.6,9.4,24.8,44.9,15.9,2.6,88.6,20.1,0.45,0.322,0.758,0.5
1,1,57,29,86,96.4,92.1,24.8,5.4,7.7,26.0,41.1,14.9,4.3,77.7,10.5,0.465,0.394,0.774,47,39,86,98.8,97.9,22.8,4.2,8.1,23.9,43.0,14.1,1.1,84.4,19.5,0.448,0.341,0.691,0.5
1,1,59,28,87,100.9,96.7,22.4,5.0,6.7,24.7,42.1,13.9,4.2,81.0,18.0,0.457,0.386,0.812,52,34,86,94.7,93.3,22.1,4.8,9.5,27.1,43.9,15.5,1.9,82.5,8.2,0.442,0.314,0.711,0.0
1,1,55,30,85,94.2,90.9,23.5,6.4,7.2,22.4,43.1,15.1,3.4,78.6,14.5,0.461,0.373,0.736,53,32,85,92.0,90.4,19.1,4.3,6.3,22.3,40.4,14.7,1.6,77.4,11.4,0.456,0.37,0.784,0.0
1,1,70,17,87,101.0,92.5,23.3,6.5,7.4,28.8,47.2,13.8,8.5,83.7,12.8,0.46,0.322,0.692,56,30,86,98.2,93.1,25.4,5.5,9.1,23.3,43.9,16.6,5.3,82.6,15.2,0.455,0.364,0.757,0.0
1,1,62,24,86,97.0,90.8,23.3,4.8,7.6,24.7,42.6,15.0,6.2,78.1,13.8,0.471,0.36,0.764,58,29,87,96.4,92.1,24.9,5.5,7.7,25.9,41.1,14.9,4.3,77.7,10.6,0.465,0.393,0.772,0.0
1,1,60,28,88,101.0,96.6,22.5,5.1,6.7,24.6,42.0,13.9,4.4,81.0,18.1,0.458,0.387,0.813,52,35,87,94.7,93.5,22.1,4.8,9.4,27.0,43.9,15.4,1.7,82.5,8.2,0.442,0.315,0.711,1.0
1,0,56,30,86,94.1,90.8,23.4,6.4,7.2,22.4,43.1,15.1,3.4,78.5,14.6,0.461,0.371,0.737,53,33,86,91.9,90.4,19.0,4.3,6.4,22.2,40.4,14.7,1.5,77.4,11.4,0.455,0.368,0.784,1.0
1,1,63,24,87,96.9,90.6,23.3,4.8,7.6,24.8,42.6,14.9,6.3,78.0,13.8,0.47,0.36,0.765,58,30,88,96.1,92.1,24.8,5.5,7.6,25.9,41.1,14.9,4.0,77.7,10.6,0.464,0.391,0.771,1.0
1,0,52,36,88,94.7,93.6,22.1,4.8,9.4,27.1,43.8,15.4,1.6,82.5,8.2,0.442,0.314,0.711,61,28,89,101.0,96.6,22.5,5.1,6.7,24.6,42.0,13.9,4.4,80.9,18.1,0.458,0.387,0.814,0.0
1,1,71,17,88,101.1,92.3,23.3,6.5,7.5,28.8,47.3,13.7,8.7,83.8,12.7,0.46,0.323,0.694,56,31,87,97.9,93.3,25.3,5.5,9.0,23.4,43.8,16.7,4.9,82.6,15.2,0.454,0.361,0.756,1.0
1,0,58,31,89,96.0,92.3,24.8,5.4,7.6,25.8,41.0,14.9,3.8,77.7,10.6,0.464,0.39,0.771,64,24,88,97.0,90.5,23.2,4.8,7.7,25.0,42.5,14.9,6.5,77.9,13.8,0.471,0.362,0.764,0.0
1,0,54,33,87,91.8,90.2,18.9,4.3,6.4,22.5,40.4,14.6,1.5,77.3,11.4,0.454,0.367,0.783,56,31,87,93.9,90.7,23.3,6.4,7.2,22.5,43.2,15.0,3.3,78.4,14.6,0.46,0.37,0.735,0.5
1,0,56,32,88,97.9,93.3,25.2,5.4,9.0,23.4,43.8,16.6,4.8,82.6,15.2,0.454,0.361,0.756,72,17,89,101.0,92.4,23.3,6.6,7.5,28.7,47.2,13.7,8.7,83.7,12.7,0.461,0.322,0.692,0.0
1,1,52,37,89,94.7,93.6,22.0,4.8,9.4,27.2,43.8,15.4,1.5,82.4,8.2,0.442,0.312,0.712,62,28,90,100.9,96.5,22.5,5.1,6.7,24.5,42.0,13.8,4.4,80.9,18.1,0.459,0.388,0.814,0.0
1,1,54,34,88,91.6,90.1,18.9,4.4,6.4,22.5,40.4,14.7,1.5,77.1,11.4,0.454,0.368,0.784,57,31,88,93.7,90.5,23.2,6.3,7.2,22.4,43.2,15.0,3.2,78.5,14.6,0.459,0.371,0.735,0.333
1,1,56,33,89,97.9,93.4,25.2,5.4,9.0,23.5,43.8,16.5,4.7,82.5,15.3,0.454,0.359,0.756,73,17,90,101.1,92.4,23.2,6.5,7.5,29.0,47.1,13.7,8.6,83.5,12.8,0.461,0.323,0.692,0.0
1,1,58,32,90,95.9,92.4,24.8,5.4,7.6,25.9,41.0,14.9,3.5,77.6,10.6,0.463,0.389,0.77,65,24,89,97.1,90.5,23.3,4.7,7.6,24.9,42.5,14.9,6.6,77.9,13.8,0.471,0.362,0.765,0.0
1,0,62,29,91,100.8,96.5,22.5,5.1,6.7,24.5,41.9,13.8,4.4,80.9,18.2,0.458,0.387,0.814,53,37,90,94.6,93.6,21.9,4.7,9.3,27.3,43.9,15.3,1.5,82.3,8.2,0.441,0.311,0.711,0.75
1,1,73,18,91,101.0,92.7,23.2,6.5,7.5,29.2,47.0,13.7,8.3,83.5,12.8,0.46,0.321,0.692,57,33,90,98.1,93.5,25.2,5.4,9.0,23.5,43.8,16.5,4.9,82.6,15.3,0.455,0.361,0.754,0.75
1,1,65,25,90,96.9,90.4,23.2,4.7,7.7,25.0,42.5,14.9,6.5,77.8,13.8,0.47,0.362,0.764,59,32,91,95.8,92.3,24.7,5.4,7.6,26.0,41.0,14.8,3.5,77.5,10.6,0.463,0.388,0.769,0.75
1,1,57,32,89,93.6,90.5,23.2,6.3,7.2,22.4,43.2,15.1,3.1,78.4,14.6,0.459,0.37,0.736,55,34,89,91.6,90.0,18.9,4.3,6.4,22.5,40.3,14.6,1.6,77.1,11.4,0.453,0.37,0.784,0.5
1,1,55,35,90,91.5,90.0,18.8,4.3,6.4,22.4,40.2,14.5,1.5,77.1,11.4,0.453,0.369,0.782,58,32,90,93.5,90.4,23.2,6.3,7.2,22.4,43.2,15.0,3.1,78.4,14.6,0.458,0.37,0.736,0.4
1,0,54,37,91,94.8,93.5,21.9,4.7,9.3,27.4,43.9,15.3,1.7,82.3,8.3,0.442,0.311,0.712,62,30,92,100.7,96.6,22.4,5.1,6.7,24.5,41.8,13.8,4.1,80.9,18.2,0.457,0.385,0.813,0.4
1,1,74,18,92,100.9,92.4,23.1,6.5,7.5,29.2,47.2,13.7,8.5,83.4,12.8,0.459,0.322,0.691,66,25,91,96.8,90.3,23.2,4.7,7.7,25.0,42.5,14.9,6.5,77.8,13.8,0.47,0.361,0.763,0.0
1,0,58,33,91,93.3,90.2,23.1,6.3,7.1,22.5,43.2,14.9,3.1,78.2,14.7,0.457,0.368,0.736,56,35,91,91.2,89.7,18.8,4.3,6.4,22.3,40.3,14.5,1.5,77.0,11.4,0.453,0.368,0.782,0.5
1,0,75,18,93,101.0,92.4,23.1,6.5,7.4,29.4,47.0,13.6,8.5,83.3,12.9,0.46,0.324,0.689,66,26,92,96.7,90.5,23.1,4.7,7.6,25.0,42.4,14.9,6.2,77.8,13.9,0.469,0.36,0.764,1.0
1,1,63,30,93,100.7,96.5,22.5,5.1,6.7,24.5,41.9,13.8,4.2,80.9,18.2,0.458,0.385,0.813,57,35,92,91.2,89.7,18.7,4.3,6.4,22.4,40.3,14.4,1.5,77.0,11.4,0.452,0.367,0.784,0.0
